run,source,subset,score,n,p50,p75,p90,p95,max
E08 ONC+DCLDE species-only,ONC,background_rows,species:Oo,29,0.324792,0.547616,0.853604,0.872987,0.905240
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,all_rows,max_primary,67,0.943895,0.979664,0.996787,0.998064,0.999610
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,all_rows,species:Bm,67,0.432571,0.969702,0.996787,0.998064,0.999610
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,all_rows,species:Bp,67,0.286506,0.865738,0.975273,0.979202,0.992199
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,all_rows,species:Mn,67,0.018354,0.037544,0.106121,0.154990,0.205581
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,all_rows,species:Oo,67,0.015492,0.110418,0.373525,0.667184,0.817960
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,background_rows,max_primary,13,0.159704,0.204666,0.331370,0.667184,0.667184
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,background_rows,species:Bm,13,0.042895,0.064586,0.068082,0.159704,0.159704
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,background_rows,species:Bp,13,0.105616,0.114892,0.176631,0.245772,0.245772
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,background_rows,species:Mn,13,0.045423,0.087877,0.112543,0.174644,0.174644
E09 ONC+BioDCASE+DCLDE species-only,BioDCASE,background_rows,species:Oo,13,0.135850,0.204666,0.331370,0.667184,0.667184
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,all_rows,max_primary,59,0.793924,0.858218,0.948160,0.967288,0.973998
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,all_rows,species:Bm,59,0.016553,0.100835,0.301238,0.543762,0.797877
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,all_rows,species:Bp,59,0.023547,0.147188,0.249928,0.393158,0.549096
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,all_rows,species:Mn,59,0.018734,0.040716,0.223234,0.595458,0.802150
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,all_rows,species:Oo,59,0.791549,0.858218,0.948160,0.967288,0.973998
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,background_rows,max_primary,29,0.797877,0.887883,0.954798,0.955713,0.973998
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,background_rows,species:Bm,29,0.049999,0.179000,0.543762,0.725222,0.797877
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,background_rows,species:Bp,29,0.128798,0.190429,0.299184,0.393158,0.458940
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,background_rows,species:Mn,29,0.027980,0.051952,0.595458,0.790856,0.802150
E09 ONC+BioDCASE+DCLDE species-only,DCLDE,background_rows,species:Oo,29,0.797789,0.887883,0.954798,0.955713,0.973998
E09 ONC+BioDCASE+DCLDE species-only,ONC,all_rows,max_primary,87,0.895016,0.966737,0.991633,0.997714,0.999279
E09 ONC+BioDCASE+DCLDE species-only,ONC,all_rows,species:Bm,87,0.051478,0.285150,0.991633,0.997714,0.999279
E09 ONC+BioDCASE+DCLDE species-only,ONC,all_rows,species:Bp,87,0.218677,0.570899,0.676633,0.817688,0.895016
E09 ONC+BioDCASE+DCLDE species-only,ONC,all_rows,species:Mn,87,0.258604,0.924151,0.969762,0.976153,0.986859
E09 ONC+BioDCASE+DCLDE species-only,ONC,all_rows,species:Oo,87,0.174889,0.650577,0.841605,0.871859,0.906413
E09 ONC+BioDCASE+DCLDE species-only,ONC,background_rows,max_primary,29,0.768798,0.871859,0.947266,0.957438,0.978689
E09 ONC+BioDCASE+DCLDE species-only,ONC,background_rows,species:Bm,29,0.029145,0.049683,0.173236,0.174152,0.174753
E09 ONC+BioDCASE+DCLDE species-only,ONC,background_rows,species:Bp,29,0.065368,0.257734,0.527853,0.640102,0.650596
E09 ONC+BioDCASE+DCLDE species-only,ONC,background_rows,species:Mn,29,0.106913,0.198104,0.947266,0.957438,0.978689
E09 ONC+BioDCASE+DCLDE species-only,ONC,background_rows,species:Oo,29,0.651536,0.792143,0.883661,0.887118,0.906413
